127.0.0.1 - - [23/May/2017:10:01:03 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/May/2017:10:01:05 +0200] "GET /AdressBuch/ HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/May/2017:10:01:12 +0200] "GET /AdressBuch/ HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/May/2017:10:11:36 +0200] "GET /AdressBuch/ HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/May/2017:10:12:06 +0200] "GET /AdressList HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [23/May/2017:10:12:11 +0200] "GET /AdressList.jsp HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [23/May/2017:10:12:34 +0200] "GET /AdressList HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [23/May/2017:10:12:50 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [23/May/2017:10:13:59 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [23/May/2017:10:14:19 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 500 2902
0:0:0:0:0:0:0:1 - - [23/May/2017:10:15:28 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 500 3092
0:0:0:0:0:0:0:1 - - [23/May/2017:10:15:29 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [23/May/2017:10:15:30 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [23/May/2017:10:15:31 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [23/May/2017:10:22:48 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 500 2902
0:0:0:0:0:0:0:1 - - [23/May/2017:10:22:49 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [23/May/2017:10:22:51 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [23/May/2017:10:24:50 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 500 3092
0:0:0:0:0:0:0:1 - - [23/May/2017:10:24:53 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [23/May/2017:10:24:54 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 500 3092
0:0:0:0:0:0:0:1 - - [23/May/2017:10:24:55 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [23/May/2017:10:24:56 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [23/May/2017:10:24:57 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [23/May/2017:10:25:11 +0200] "GET /AdressBuch/ HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/May/2017:10:25:19 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 500 3092
0:0:0:0:0:0:0:1 - - [23/May/2017:10:26:03 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [23/May/2017:10:30:05 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [23/May/2017:10:31:28 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [23/May/2017:10:31:49 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [23/May/2017:10:36:01 +0200] "GET /AdressBuch/AddressList.jsp HTTP/1.1" 200 1790
